City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
160,Vardo,NO,70.3705,31.1107,40.98,87,100,2.3,scattered clouds
161,Okhotsk,RU,59.3833,143.3,38.17,41,100,4.36,scattered clouds
162,Buraydah,SA,26.326,43.975,76.82,16,4,7.14,scattered clouds
163,Maamba,ZM,-17.3667,27.15,68.38,35,0,2.86,scattered clouds
164,Drakhtik,AM,40.565,45.2367,54.68,62,2,3.22,scattered clouds
165,Madang,PG,-5.2246,145.7966,86.56,66,13,9.13,scattered clouds
166,Ojinaga,MX,29.5667,-104.4167,76.15,41,0,9.22,scattered clouds
167,Vao,NC,-22.6667,167.4833,69.31,65,7,16.93,scattered clouds
168,Kudahuvadhoo,MV,2.6708,72.8944,81.57,76,100,18.1,scattered clouds
169,Iqaluit,CA,63.7506,-68.5145,36.7,93,100,11.99,scattered clouds
170,Abha,SA,18.2164,42.5053,62.85,24,0,0.0,scattered clouds
171,Mehamn,NO,71.0357,27.8492,39.11,93,75,6.91,scattered clouds
172,Pak Phanang,TH,8.3511,100.202,84.06,71,69,5.88,scattered clouds
173,Katsuura,JP,35.1333,140.3,79.36,67,47,21.34,scattered clouds
174,Palmer,US,42.1584,-72.3287,49.86,72,100,8.05,scattered clouds
175,Ingham,US,42.6,-84.3833,44.22,90,0,0.0,scattered clouds
176,Lakhisarai,IN,25.1768,86.0932,78.35,89,100,14.12,scattered clouds
177,Kloulklubed,PW,7.0419,134.2556,86.5,78,100,5.86,scattered clouds
178,Pafos,CY,34.7667,32.4167,71.38,68,20,5.75,scattered clouds
179,Port Elizabeth,ZA,-33.918,25.5701,57.31,85,11,3.0,scattered clouds
180,Silifke,TR,36.3778,33.9344,74.57,80,27,7.61,scattered clouds
181,Serro,BR,-18.6047,-43.3794,63.61,96,47,1.74,scattered clouds
182,Homer,US,59.6425,-151.5483,50.81,76,100,1.01,scattered clouds
183,Dzhebariki-Khaya,RU,62.2167,135.8,28.35,48,27,6.42,scattered clouds
184,Rorvik,NO,64.8621,11.2373,50.11,93,75,4.61,scattered clouds
185,Namibe,AO,-15.1961,12.1522,65.62,90,55,3.65,scattered clouds
186,Praia Da Vitoria,PT,38.7333,-27.0667,66.76,95,100,5.73,scattered clouds
187,Port Blair,IN,11.6667,92.75,86.04,74,75,3.44,scattered clouds
188,Mar Del Plata,AR,-38.0023,-57.5575,52.09,88,100,4.0,scattered clouds
189,Coachella,US,33.6803,-116.1739,93.15,41,14,1.83,scattered clouds
190,Kastamonu,TR,41.5,33.6667,46.18,88,11,3.2,scattered clouds
191,Bairiki,KI,1.3292,172.9752,86.0,62,20,17.27,scattered clouds
192,Milton,US,34.1322,-84.3007,66.29,83,84,4.14,scattered clouds
193,Alvaro Obregon,MX,19.3733,-99.225,61.92,58,75,3.44,scattered clouds
194,Angoche,MZ,-16.2325,39.9086,72.03,80,0,6.29,scattered clouds
195,Montepuez,MZ,-13.1256,38.9997,64.27,84,5,3.4,scattered clouds
196,Makokou,GA,0.5738,12.8642,66.99,99,95,2.39,scattered clouds
197,Wageningen,NL,51.9667,5.6667,51.08,93,100,3.44,scattered clouds
198,Grand Island,US,40.925,-98.342,69.03,39,100,10.36,scattered clouds
199,Shimanovsk,RU,52.0,127.7,38.79,29,7,13.42,scattered clouds
200,Souillac,MU,-20.5167,57.5167,73.78,73,40,12.66,scattered clouds
201,Kamenka,RU,51.3223,42.7678,50.23,74,86,8.23,scattered clouds
202,Asau,RO,46.4333,26.4,47.32,81,61,5.26,scattered clouds
203,Alta Floresta,BR,-9.8756,-56.0861,72.64,83,29,5.08,scattered clouds
204,Provideniya,RU,64.3833,-173.3,41.36,81,0,7.0,scattered clouds
205,Maxixe,MZ,-23.8597,35.3472,75.02,88,40,6.91,scattered clouds
206,Faanui,PF,-16.4833,-151.75,77.77,78,5,17.22,scattered clouds
207,Tiksi,RU,71.6872,128.8694,21.65,86,79,11.74,scattered clouds
208,Klaksvik,FO,62.2266,-6.589,52.72,97,100,36.04,scattered clouds
209,Tautira,PF,-17.7333,-149.15,76.08,82,30,23.67,scattered clouds
210,Yar-Sale,RU,66.8333,70.8333,38.7,78,100,11.81,scattered clouds
211,Zelenoborskiy,RU,66.845,32.3622,43.66,90,100,7.18,scattered clouds
212,Kokkola,FI,63.8385,23.1307,46.92,96,100,1.14,scattered clouds
213,Pevek,RU,69.7008,170.3133,29.32,75,100,8.75,scattered clouds
214,Chulman,RU,56.8479,124.9104,26.74,71,100,13.51,scattered clouds
215,Atar,MR,20.5169,-13.0499,88.54,34,78,5.57,scattered clouds
216,Black River,JM,18.0264,-77.8487,77.74,85,72,3.56,scattered clouds
217,Mahebourg,MU,-20.4081,57.7,74.25,73,40,12.66,scattered clouds
218,Nome,US,64.5011,-165.4064,44.67,82,100,11.5,scattered clouds
219,Grindavik,IS,63.8424,-22.4338,51.75,87,100,17.27,scattered clouds
220,Egvekinot,RU,66.3167,-179.1667,25.7,79,87,8.52,scattered clouds
221,Skorodnoye,RU,51.071,37.2276,48.34,83,75,16.17,scattered clouds
222,Zabol,AF,32.25,67.25,63.43,15,0,2.15,scattered clouds
223,Dongying,CN,37.4564,118.4856,53.64,43,100,15.66,scattered clouds
224,Novonikolayevskiy,RU,50.9738,42.3649,51.15,71,93,8.46,scattered clouds
225,Marienburg,PL,54.0359,19.0266,53.04,92,13,10.51,scattered clouds
226,Vila Franca Do Campo,PT,37.7167,-25.4333,73.2,93,44,9.55,scattered clouds
227,Mahad,IN,18.0833,73.4167,79.84,84,100,2.01,scattered clouds
228,Murray Bridge,AU,-35.1167,139.2667,58.12,81,98,17.11,scattered clouds
229,Dumas,US,35.8656,-101.9732,64.62,36,0,10.36,scattered clouds
230,Lavrentiya,RU,65.5833,-171.0,38.01,76,45,3.71,scattered clouds
231,Kearney,US,40.6995,-99.0815,68.56,38,100,8.05,scattered clouds
232,Fitii,PF,-16.7333,-151.0333,76.93,79,0,18.32,scattered clouds
233,Sambava,MG,-14.2667,50.1667,70.25,79,95,8.48,scattered clouds
234,Tabou,CI,4.423,-7.3528,75.27,91,89,3.09,scattered clouds
235,Svetlopolyansk,RU,59.4184,52.3605,45.73,76,92,7.47,scattered clouds
236,Chicama,PE,-7.8447,-79.1469,57.74,84,51,5.86,scattered clouds
237,Fukue,JP,32.6881,128.8419,79.05,81,100,16.89,scattered clouds
238,Samarai,PG,-10.6167,150.6667,81.64,81,86,14.5,scattered clouds
239,Lodja,CD,-3.4833,23.4333,66.9,91,93,2.82,scattered clouds
240,North Myrtle Beach,US,33.816,-78.68,55.45,89,0,4.61,scattered clouds
241,Kirakira,SB,-10.4544,161.9205,83.98,69,66,9.17,scattered clouds
242,Tasiilaq,GL,65.6145,-37.6368,37.56,97,100,7.09,scattered clouds
243,Kapaa,US,22.0752,-159.319,82.38,72,20,12.66,scattered clouds
244,Rudraprayag,IN,30.2833,78.9833,81.18,57,84,0.89,scattered clouds
245,Saint-Francois,FR,46.4154,3.9054,42.24,100,100,0.0,scattered clouds
246,Bentiu,SS,9.2333,29.8333,71.04,90,97,1.03,scattered clouds
247,Ust-Tsilma,RU,65.441,52.1498,37.27,92,100,4.14,scattered clouds
248,Olden,NO,61.8364,6.8064,54.1,90,100,9.42,scattered clouds
249,Valdivia,CL,-39.8142,-73.2459,51.89,99,100,3.89,scattered clouds
250,Pochutla,MX,15.7432,-96.4661,76.82,90,54,3.62,scattered clouds
251,Fairbanks,US,64.8378,-147.7164,43.99,81,20,4.61,scattered clouds
252,Coquimbo,CL,-29.9533,-71.3436,55.13,82,100,5.75,scattered clouds
253,Muroto,JP,33.2833,134.15,78.67,75,65,11.97,scattered clouds
254,Chokurdakh,RU,70.6333,147.9167,26.76,77,98,3.29,scattered clouds
