City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
154,Angoche,MZ,2022-10-01 04:48:47,-16.2325,39.9086,75.16,69,0,0.22
155,Borgarnes,IS,2022-10-01 04:48:47,64.5383,-21.9206,48.25,89,100,11.79
156,Husavik,IS,2022-10-01 04:48:48,66.0449,-17.3389,45.18,98,100,13.56
157,Saskylakh,RU,2022-10-01 04:48:49,71.9167,114.0833,30.92,96,100,8.16
158,Khandbari,NP,2022-10-01 04:48:49,27.3747,87.2039,81.93,57,4,3.44
159,Ust-Koksa,RU,2022-10-01 04:48:49,50.2696,85.6108,32.88,37,67,0.29
160,Nioro,GM,2022-10-01 04:48:50,13.35,-15.75,75.7,96,100,5.21
161,Berlevag,NO,2022-10-01 04:48:50,70.8578,29.0864,41.0,75,100,12.66
162,Tevaitoa,PF,2022-10-01 04:48:50,-16.7833,-151.5,78.1,69,15,5.1
163,Hambantota,LK,2022-10-01 04:48:51,6.1241,81.1185,86.34,74,40,16.11
164,Dakar,SN,2022-10-01 04:47:15,14.6937,-17.4441,79.68,82,11,8.23
165,Meulaboh,ID,2022-10-01 04:48:51,4.1363,96.1285,82.2,74,99,7.16
166,Donghai,CN,2022-10-01 04:48:52,22.9459,115.642,89.02,60,74,12.28
167,Duma,CN,2022-10-01 04:48:52,34.7653,108.135,60.98,97,100,4.43
168,Bilgi,IN,2022-10-01 04:48:53,16.35,75.6167,82.31,63,97,9.48
169,Novo Aripuana,BR,2022-10-01 04:48:53,-5.1206,-60.3797,79.14,59,88,2.73
170,Dunedin,NZ,2022-10-01 04:47:47,-45.8742,170.5036,48.04,66,1,4.36
171,Khani,GE,2022-10-01 04:48:54,41.9563,42.9566,53.17,52,0,0.27
172,Ahipara,NZ,2022-10-01 04:48:54,-35.1667,173.1667,64.15,89,48,9.31
173,Matara,LK,2022-10-01 04:48:22,5.9485,80.5353,81.73,82,85,16.51
174,San Jose,US,2022-10-01 04:45:22,37.3394,-121.895,69.94,71,0,8.05
175,Tamiahua,MX,2022-10-01 04:48:55,21.2667,-97.45,72.21,75,3,3.04
176,Caraballeda,VE,2022-10-01 04:48:55,10.6112,-66.8522,80.85,92,100,4.61
177,Padang,ID,2022-10-01 04:48:56,-0.9492,100.3543,87.85,79,99,4.41
178,Omsukchan,RU,2022-10-01 04:48:56,62.5333,155.8,25.81,81,99,4.12
179,Zalantun,CN,2022-10-01 04:48:57,48.0,122.7167,54.41,38,31,8.19
180,Kaitangata,NZ,2022-10-01 04:48:57,-46.2817,169.8464,47.68,61,0,4.52
181,Stramtura,RO,2022-10-01 04:48:57,47.7833,24.1333,53.2,93,71,3.91
182,Severo-Kurilsk,RU,2022-10-01 04:48:58,50.6789,156.125,47.46,80,89,9.06
183,Harper,LR,2022-10-01 04:48:58,4.375,-7.7169,75.94,85,95,8.46
184,Lagoa,PT,2022-10-01 04:48:59,39.05,-27.9833,68.18,65,5,3.33
185,Neepawa,CA,2022-10-01 04:48:59,50.2289,-99.4664,50.4,86,98,14.41
186,Mar Del Plata,AR,2022-10-01 04:47:01,-38.0023,-57.5575,52.09,86,0,4.61
187,Camacha,PT,2022-10-01 04:50:00,33.0833,-16.3333,67.42,68,20,13.8
188,Upernavik,GL,2022-10-01 04:46:58,72.7868,-56.1549,19.56,84,80,4.25
189,Nipawin,CA,2022-10-01 04:50:01,53.3668,-104.0009,46.44,87,75,10.36
190,Erzin,TR,2022-10-01 04:50:01,36.9559,36.2,78.96,59,0,2.13
191,Dingle,PH,2022-10-01 04:50:02,10.9995,122.6711,87.24,67,74,10.96
192,Muros,ES,2022-10-01 04:50:02,42.7762,-9.0603,60.1,90,93,4.45
193,Takoradi,GH,2022-10-01 04:50:03,4.8845,-1.7554,74.26,93,90,8.43
194,Chuka,KE,2022-10-01 04:50:03,-0.3332,37.6459,64.76,70,36,3.85
195,Kizukuri,JP,2022-10-01 04:50:03,40.8061,140.3861,81.95,64,9,7.65
196,Balkhash,KZ,2022-10-01 04:50:04,46.844,74.9804,38.01,41,0,22.37
197,Zephyrhills,US,2022-10-01 04:50:04,28.2336,-82.1812,69.57,88,100,0.0
198,Nyurba,RU,2022-10-01 04:50:05,63.2842,118.3319,32.25,56,80,3.42
199,Andijon,UZ,2022-10-01 04:50:05,40.7821,72.3442,70.88,32,20,6.91
200,Sovetskoye,RU,2022-10-01 04:50:05,52.2861,85.4131,33.69,78,100,10.18
201,Chapais,CA,2022-10-01 04:50:06,49.7834,-74.8492,46.18,86,100,8.75
202,Katubao,PH,2022-10-01 04:50:06,5.8892,124.8294,91.38,72,83,2.57
203,Narsaq,GL,2022-10-01 04:50:07,60.9167,-46.05,35.87,97,100,7.65
204,Sao Filipe,CV,2022-10-01 04:50:08,14.8961,-24.4956,79.07,83,17,8.12
205,Saquarema,BR,2022-10-01 04:50:08,-22.92,-42.5103,64.76,83,100,9.26
206,Sur,OM,2022-10-01 04:48:20,22.5667,59.5289,85.37,59,2,2.8
207,Mahebourg,MU,2022-10-01 04:50:09,-20.4081,57.7,74.25,83,75,8.05
208,Bloomington,US,2022-10-01 04:50:09,44.8408,-93.2983,62.87,59,100,10.36
209,Salalah,OM,2022-10-01 04:49:30,17.0151,54.0924,80.69,83,75,4.61
210,Springdale,US,2022-10-01 04:45:46,36.1867,-94.1288,56.68,64,0,0.0
211,Labuhan,ID,2022-10-01 04:50:10,-6.8844,112.2051,86.27,65,58,10.0
212,Lagos,NG,2022-10-01 04:49:35,6.5833,3.75,77.32,95,88,2.8
213,Viedma,AR,2022-10-01 04:50:11,-40.8135,-62.9967,58.51,66,100,5.14
214,Pangody,RU,2022-10-01 04:50:11,65.85,74.4859,32.4,66,93,12.24
215,Vardo,NO,2022-10-01 04:50:12,70.3705,31.1107,40.98,87,75,10.36
216,Sfantu Gheorghe,RO,2022-10-01 04:50:12,45.8667,25.7833,62.26,82,34,2.73
217,Port-Gentil,GA,2022-10-01 04:50:13,-0.7193,8.7815,75.92,89,100,10.22
218,Hunchun,CN,2022-10-01 04:50:13,42.8675,130.3581,78.35,50,71,11.86
219,Biltine,TD,2022-10-01 04:50:14,14.5333,20.9167,81.7,41,11,5.08
220,Chokurdakh,RU,2022-10-01 04:50:14,70.6333,147.9167,27.52,67,100,4.99
221,Kaduna,NG,2022-10-01 04:46:55,10.5222,7.4383,67.35,93,42,3.53
222,Cap Malheureux,MU,2022-10-01 04:50:15,-19.9842,57.6142,74.46,61,3,8.99
223,Zhanaozen,KZ,2022-10-01 04:50:15,43.3,52.8,66.31,17,6,13.22
224,Constitucion,CL,2022-10-01 04:45:56,-35.3333,-72.4167,54.75,81,100,6.96
225,Nefteyugansk,RU,2022-10-01 04:50:16,61.0998,72.6035,34.97,47,51,4.79
226,Shingu,JP,2022-10-01 04:48:17,33.7333,135.9833,79.18,58,1,6.89
227,Broken Hill,AU,2022-10-01 04:50:18,-31.95,141.4333,68.74,32,72,7.61
228,Leningradskiy,RU,2022-10-01 04:50:18,69.3833,178.4167,29.26,79,100,8.39
229,Vao,NC,2022-10-01 04:50:18,-22.6667,167.4833,71.15,68,89,17.94
230,Yulara,AU,2022-10-01 04:50:19,-25.2406,130.9889,80.91,20,100,11.77
231,Yagodnoye,RU,2022-10-01 04:51:19,62.55,149.6667,26.24,84,100,3.89
232,Grand Forks,US,2022-10-01 04:48:30,47.9417,-97.4337,60.78,67,75,6.91
233,Rampur,IN,2022-10-01 04:50:17,28.8167,79.0333,83.77,64,0,4.18
234,Manggar,ID,2022-10-01 04:51:20,-2.8833,108.2667,83.95,69,48,5.7
235,Abomey-Calavi,BJ,2022-10-01 04:51:21,6.4485,2.3557,78.66,83,75,12.66
236,Honiara,SB,2022-10-01 04:51:22,-9.4333,159.95,84.36,69,27,4.94
237,Sokoto,NG,2022-10-01 04:51:22,13.0609,5.239,76.5,71,21,3.94
238,Tuktoyaktuk,CA,2022-10-01 04:51:22,69.4541,-133.0374,33.8,86,75,16.11
239,Port Elizabeth,ZA,2022-10-01 04:47:14,-33.918,25.5701,60.31,94,20,16.11
240,Klaksvik,FO,2022-10-01 04:51:23,62.2266,-6.589,50.92,88,98,21.88
241,Saint-Philippe,RE,2022-10-01 04:51:23,-21.3585,55.7679,74.79,77,64,10.74
242,Alice Springs,AU,2022-10-01 04:51:24,-23.7,133.8833,82.22,14,100,12.66
243,Sinyavskoye,RU,2022-10-01 04:51:24,47.277,39.2789,65.75,69,22,3.89
244,Rongcheng,CN,2022-10-01 04:51:25,30.634,117.8517,99.59,33,44,4.34
245,Mayo,US,2022-10-01 04:51:25,38.8876,-76.5119,59.11,93,100,14.97
246,San Quintin,MX,2022-10-01 04:51:26,30.4833,-115.95,67.87,83,2,12.12
247,Pereira Barreto,BR,2022-10-01 04:51:26,-20.6383,-51.1092,67.23,82,84,5.7
248,Shitanjing,CN,2022-10-01 04:51:27,39.2342,106.3439,73.78,42,1,8.39
249,Katsuura,JP,2022-10-01 04:51:27,35.1333,140.3,76.64,65,0,16.84
250,Leh,IN,2022-10-01 04:51:27,34.1667,77.5833,50.47,44,4,6.62
251,Mogadishu,SO,2022-10-01 04:51:28,2.0371,45.3438,80.47,74,20,14.97
252,Lavrentiya,RU,2022-10-01 04:51:28,65.5833,-171.0,38.19,71,97,16.46
253,Cayenne,GF,2022-10-01 04:50:24,4.9333,-52.3333,75.24,94,0,0.0
254,Sao Gabriel Da Cachoeira,BR,2022-10-01 04:51:29,-0.1303,-67.0892,72.54,96,100,1.68
255,Englewood,US,2022-10-01 04:49:05,39.6478,-104.9878,56.12,86,75,9.22
256,Mayskiy,RU,2022-10-01 04:51:29,47.6931,40.1025,60.21,58,42,3.96
257,Asau,RO,2022-10-01 04:51:30,46.4333,26.4,49.12,72,60,4.16
258,Katobu,ID,2022-10-01 04:51:30,-4.9408,122.5276,86.52,62,100,3.71
259,Bom Despacho,BR,2022-10-01 04:51:30,-19.7364,-45.2522,63.68,92,92,7.05
260,Tual,ID,2022-10-01 04:51:31,-5.6667,132.75,82.92,68,86,0.54
261,Isiro,CD,2022-10-01 04:51:31,2.7739,27.616,67.1,98,97,0.45
262,Thongwa,MM,2022-10-01 04:51:32,16.7619,96.5278,84.36,80,100,6.44
263,Qaanaaq,GL,2022-10-01 04:51:32,77.484,-69.3632,11.8,72,45,6.58
264,Mitsamiouli,KM,2022-10-01 04:51:32,-11.3847,43.2844,73.69,78,20,3.44
265,Fortuna Foothills,US,2022-10-01 04:51:33,32.6578,-114.4119,89.69,51,0,10.36
266,Beidao,CN,2022-10-01 04:51:33,34.5686,105.8933,74.62,59,94,5.08
267,Vinnytsya,UA,2022-10-01 04:51:34,49.2328,28.481,55.65,82,87,5.61
268,Palencia,ES,2022-10-01 04:51:19,42.4167,-4.5,46.8,62,100,3.11
269,Saint-Pierre,RE,2022-10-01 04:51:34,-21.3393,55.4781,74.88,54,20,4.61
270,Lichinga,MZ,2022-10-01 04:51:35,-13.3128,35.2406,57.29,82,40,9.22
271,Praxedis Guerrero,MX,2022-10-01 04:51:35,31.3667,-106.0167,73.53,36,24,2.89
272,Aljezur,PT,2022-10-01 04:51:35,37.3191,-8.8033,58.91,57,12,7.34
273,Beatrice,US,2022-10-01 04:51:36,40.2681,-96.747,62.69,48,0,8.05
274,Kotaparh,IN,2022-10-01 04:51:36,19.15,82.35,81.43,67,100,8.52
275,Ellisras,ZA,2022-10-01 04:51:36,-23.6649,27.7443,68.65,42,0,4.9
276,Provideniya,RU,2022-10-01 04:52:37,64.3833,-173.3,38.46,80,100,25.46
277,Spencer,US,2022-10-01 04:52:37,43.1414,-95.1444,60.91,60,0,8.05
278,Beringovskiy,RU,2022-10-01 04:52:38,63.05,179.3167,40.12,84,100,33.33
279,Mizdah,LY,2022-10-01 04:52:38,31.4451,12.9801,82.54,17,100,4.94
280,Maniago,IT,2022-10-01 04:52:38,46.1706,12.7078,56.8,96,20,3.44
